1,seine,""
2,haben,""
3,durch,""
4,hatte,""
5,waren,""
6,sagte,""
7,jeder,""
8,sagen,""
9,klein,""
10,lesen,""
11,seits,""
12,hafen,""
13,lande,""
14,warum,""
15,licht,""
16,punkt,""
17,bauen,""
18,vater,""
19,jeder,""
20,leben,""
21,wenig,""
22,runde,""
23,jeder,""
24,geben,""
25,unter,""
26,durch,""
27,sagen,""
28,hilfe,""
29,linie,""
30,umzug,""
31,recht,""
32,junge,""
33,viele,""
34,würde,""
35,diese,""
36,lange,""
37,sache,""
38,sehen,""
39,gehen,""
40,nicht,""
41,meine,""
42,anruf,""
43,erste,""
44,seite,""
45,jetzt,""
46,seite,""
47,sonne,""
48,stadt,""
49,macht,""
50,links,""
51,nacht,""
52,leben,""
53,essen,""
54,fisch,""
55,stopp,""
56,basis,""
57,hören,""
58,pferd,""
59,farbe,""
60,start,""
61,bekam,""
62,gehen,""
63,immer,""
64,musik,""
65,beide,""
66,marke,""
67,meile,""
68,fluss,""
69,genug,""
70,ebene,""
71,liste,""
72,vogel,""
73,frage,""
74,stein,""
75,feuer,""
76,süden,""
77,stück,""
78,sagte,""
79,obere,""
80,ganze,""
81,könig,""
82,kraft,""
83,insel,""
84,statt,""
85,spiel,""
86,wärme,""
87,osten,""
88,malen,""
89,unter,""
90,macht,""
91,stadt,""
92,stern,""
93,nomen,""
94,fähig,""
95,pfund,""
96,getan,""
97,stand,""
98,front,""
99,woche,""
100,ozean,""
101,warme,""
102,stark,""
103,geist,""
104,beste,""
105,boden,""
106,hören,""
107,sechs,""
108,reise,""
109,vokal,""
110,krieg,""
111,legen,""
112,gegen,""
113,liebe,""
114,karte,""
115,regen,""
116,regel,""
117,kälte,""
118,fahrt,""
119,zelle,""
120,platz,""
121,grund,""
122,dauer,""
123,kunst,""
124,thema,""
125,größe,""
126,kreis,""
127,kluft,""
128,silbe,""
129,kugel,""
130,welle,""
131,motor,""
132,breit,""
133,segel,""
134,übung,""
135,board,""
136,weich,""
137,gases,""
138,monat,""
139,blume,""
140,reise,""
141,reihe,""
142,genau,""
143,ärger,""
144,außer,""
145,samen,""
146,pause,""
147,wuchs,""
148,draht,""
149,braun,""
150,messe,""
151,sonst,""
152,mitte,""
153,töten,""
154,milch,""
155,orgel,""
156,alter,""
157,kleid,""
158,wolke,""
159,ruhig,""
160,stein,""
161,menge,""
162,boden,""
163,eisen,""
164,stick,""
165,falte,""
166,lösen,""
167,boden,""
168,hügel,""
169,katze,""
170,küste,""
171,kopie,""
172,still,""
173,boden,""
174,rolle,""
175,kampf,""
176,blick,""
177,stuhl,""
178,reich,""
179,bitte,""
180,ernte,""
181,deren,""
182,rings,""
183,sanft,""
184,wasch,""
185,menge,""
186,strom,""
187,angst,""
188,blick,""
189,suche,""
190,druck,""
191,wüste,""
192,anzug,""
193,strom,""
194,stamm,""
195,blatt,""
196,aktie,""
197,markt,""
198,küken,""
199,liebe,""
200,feind,""
201,natur,""
202,dampf,""
203,zweig,""
204,spiel,""
205,feige,""
206,stahl,""
207,apfel,""
208,masse,""
209,karte,""
210,abend,""
211,basis,""
212,block,""
213,firma,""
214,schuh,""
215,lager,""
216,quart,""
217,ebene,""
218,glanz,""
219,breit,""
